Avatar	2009	2923	4,121	237	12.3	1233%	2,922,917,914
Titanic	1997	2202	4,120	200	11.0	1101%	2,201,647,264
Star Wars	1977	775	3,946	11	70.5	7049%	775,398,007
Avengers: Endgame	2019	2798	3,309	356	7.9	786%	2,797,501,328
The Exorcist	1973	441	3,084	12	36.8	3678%	441,306,145
Jaws	1975	477	2,723	9	52.9	5295%	476,512,065
The Force Awakens	2015	2070	2,636	306	6.8	676%	2,069,521,700
E.T.	1982	793	2,503	10.5	75.5	7552%	792,910,554
Avengers: Infinity War	2018	2048	2,460	321	6.4	638%	2,048,359,754
Jurassic Park	1993	1110	2,317	63	17.6	1762%	1,109,802,321
Spider-Man: No Way Home	2021	1971	2,244	200	9.9	986%	1,971,439,845
Avatar 2*	2022	2242	2,242	400	5.6	561%	2,054,734,732
The Lion King	1994	1064	2,166	45	23.6	2364%	1,063,611,805
Jurassic World	2015	1672	2,129	150	11.1	1114%	1,671,537,444
Empire Strikes Back	1980	538	2,060	31	17.4	1737%	538,375,067
The Avengers	2012	1519	1,995	220	6.9	690%	1,518,815,515
The Lion King	2019	1663	1,967	260	6.4	640%	1,663,250,487
Furious 7	2015	1515	1,930	190	8.0	798%	1,515,341,399
Grease	1978	396	1,888	6	66.0	6605%	396,271,103
LOTR: The Return of the King	2003	1146	1,878	94	12.2	1220%	1,146,436,214
The Phantom Menace	1999	1027	1,861	115	8.9	893%	1,027,082,707
Harry Potter & the Deathly Hallows: Pt 2	2011	1342	1,815	125	10.7	1074%	1,342,359,942
Avengers: Age of Ultron	2015	1403	1,787	250	5.6	561%	1,402,809,540
Harry Potter & the Sorcerer's Stone	2001	1024	1,741	125	8.2	819%	1,023,842,938
Frozen II	2019	1450	1,715	150	9.7	967%	1,450,026,933
Frozen	2013	1305	1,687	150	8.7	870%	1,304,550,716
Black Panther	2018	1382	1,660	205	6.7	674%	1,382,248,826
The Last Jedi	2017	1333	1,634	317	4.2	420%	1,332,698,830
POC: Dead Man's Chest	2006	1066	1,601	225	4.7	474%	1,066,179,747
Beauty and the Beast	2017	1306	1,601	160	8.2	816%	1,305,611,599
LOTR: Two Towers	2002	948	1,594	94	10.1	1008%	947,939,315
Independence Day	1996	817	1,576	75	10.9	1090%	817,400,891
Top Gun: Maverick	2022	1487	1,574	170	8.7	875%	1,486,657,763
Jurassic World: Fallen Kingdom	2018	1310	1,574	187	7.0	701%	1,310,466,296
Iron Man 3	2013	1215	1,571	200	6.1	607%	1,214,811,252
Finding Nemo	2003	940	1,541	94	10.0	1000%	940,352,645
